TIME_STEP,farms,Natural_Capital,NEWCOMERS,broadband_infrastructure_population_covered,proportion_of_newcomers,shared_knowledge,social_innovation,tourist_visitors,workforce_specialization,INFANTS,ELDERLY_POPULATION,SCHOOL_AGE_POPULATION,POST_SCHOOL_POPULATION,WORKING_AGE_POPULATION,WORKING_AGE_RURAL_POPULATION,total_rural_population,proportion_INFANTS,proportion_ELDERLY_POPULATION,proportion_SCHOOL_AGE_POPULATION,proportion_POST_SCHOOL_POPULATION,proportion_WORKING_AGE_POPULATION,proportion_NEWCOMERS,MODEL
2036.25,0.02931689071911913,0.0,0.011857484243732789,0.9148936170212748,0.27715720023394574,0.6509826011169048,0.4190011100374185,0.0,0.6014782374583187,0.017012475820890702,0.005122262381052504,0.024405330924713253,0.032205412150893904,0.009255031731071135,0.009255031731071135,0.009019093955863129,0.3725220136945522,0.30609803260729435,0.8684962490922702,0.8688007304856818,0.5317157226838248,0.27715720023394574,Monaghan
2036.5,0.029313268795004874,0.0,0.011772915507079465,0.9148936170212748,0.27427498513523313,0.6536774772109404,0.41916991123732394,0.0,0.6004294828241993,0.01698691816304875,0.005145221937168121,0.02442554790708967,0.03208617123223686,0.009302629424236805,0.009302629424236805,0.009045027601295417,0.3695436090264338,0.3071447449486401,0.8655267346693543,0.8660624472889598,0.534200950759079,0.27427498513523313,Monaghan
2036.75,0.0293095949993569,0.0,0.011693577818903544,0.9148936170212748,0.27153636562964184,0.6563048162570745,0.4193226198665547,0.0,0.5993970923120092,0.016964522665330235,0.0051681166740882864,0.024444737735801695,0.0319776235678679,0.00934969143849514,0.00934969143849514,0.009071170444254971,0.3667040172184275,0.30817434109501846,0.8625186846154621,0.8636216291091823,0.5365641363562229,0.27153636562964184,Monaghan
2037.0,0.02930586889599016,0.0,0.011619718796578197,0.9148936170212748,0.2689458543515791,0.658862272817963,0.4194572493899653,0.0,0.5983807232855577,0.01694518126961766,0.00519093279559634,0.024463008240966908,0.03188010321154583,0.009396293547730038,0.009396293547730038,0.009097568827563612,0.36399459143119167,0.309184577476675,0.8594727519760884,0.8614856633341165,0.5388095157690185,0.2689458543515791,Monaghan
2037.25,0.029302090046713355,0.0,0.011551545653051729,0.9148936170212748,0.2665068462839928,0.6613470958081491,0.41957175227606847,0.0,0.597379008301862,0.016928792300346066,0.005213668247699165,0.02448046200874293,0.03179388548005789,0.00944250936707576,0.00944250936707576,0.009124269983019458,0.36140699710700525,0.3101740155714094,0.8563892318248104,0.8596601151803841,0.5409407836137431,0.2665068462839928,Monaghan
2037.5,0.029298256241468167,0.0,0.011485267965110318,0.9148936170212748,0.2641302971461754,0.6637562471417033,0.4196739037539199,0.0,0.596405383415338,0.016914987563138265,0.005236321524866405,0.024497069529539266,0.03171079148919241,0.00948805437726094,0.00948805437726094,0.009150800836875887,0.3589555361472306,0.31115633460636155,0.853315830215463,0.8578971740552503,0.5429970073731953,0.2641302971461754,Monaghan
2037.75,0.029294366986541122,0.0,0.011421286740173692,0.9148936170212748,0.2618248175408803,0.6660943383394271,0.4197640002881219,0.0,0.5954573129055042,0.016903662934757435,0.005258888919887904,0.02451292338197816,0.03163163478271158,0.009532984781252547,0.009532984781252547,0.009177220963786028,0.35663076824277173,0.3121296266558435,0.8502504765103984,0.8562188204282823,0.5449772655309003,0.2618248175408803,Monaghan
2038.0,0.02929042181431573,0.0,0.011359907034408362,0.9148936170212748,0.25959669896059495,0.6683647729967345,0.41984210763579183,0.0,0.5945326450395064,0.016894717947099624,0.0052813672713961,0.02452810957907963,0.03155701861973692,0.009577351638076409,0.009577351638076409,0.009203578957571491,0.35442424837674646,0.3130923411103948,0.8471919496921422,0.8546410345032823,0.5468816717932125,0.25959669896059495,Monaghan
2038.25,0.029286420278871655,0.0,0.011301361815348049,0.9148936170212748,0.2574504908419087,0.670570022850021,0.4199081113140338,0.0,0.5936295233384924,0.01688805623117504,0.005303753896723528,0.024542708398047664,0.03148738935214071,0.009621202058818654,0.009621202058818654,0.009229915185463395,0.3523283454391847,0.3140432000704292,0.844139620234207,0.8531753441372484,0.5487110904492152,0.2574504908419087,Monaghan
2038.5,0.02928236195254843,0.0,0.01124582468879425,0.9148936170212748,0.25538931458233394,0.6727118381339395,0.41996176870755964,0.0,0.5927463398569404,0.016883585428669974,0.005326046538840109,0.02455679488024641,0.03142306545832539,0.009664579643018081,0.009664579643018081,0.009256263179326957,0.35033613167264566,0.314981154275235,0.841093321214441,0.8518296524141955,0.5504669701475554,0.25538931458233394,Monaghan
